name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Musée mémorial de la Bataille de Normandie				Bayeux							
Musée Langlois				Beaumont-en-Auge							
Musée des Beaux-Arts				Caen							
Musée de Normandie				Caen							
Mémorial pour la paix				Caen							
Musée de la Poste et des Télécommunications				Caen							
Juno Beach Centre				Courseulles-sur-Mer							
Musée Eugène Boudin				Honfleur							
Musée de la meunerie				Le Molay-Littry							
Musée du fromage				Livarot							
Musée du mur de l’Atlantique				Ouistreham							
Musée de la belle époque de l'automobile				Pont-l'Évêque							
Musée des techniques fromagères				Saint-Pierre-sur-Dives							
Musée archéologique de Vieux-la-Romaine				Vieux							
Musée Municipal				Bernay							
Musée des Impressionnismes				Giverny							
Musée Claude Monet				Giverny							
Musée Baudy				Giverny							
Musée Alphonse Georges Poulain				Vernon							
Le Scriptorial				Avranches							
Musée municipal				Avranches							
Musée Thomas Henry				Cherbourg-Octeville							
Muséum d'histoire naturelle d'archéologie et d'ethnographie				Cherbourg-Octeville							
Musée de la Libération				Cherbourg-Octeville							
Musée Quesnel Morinière				Coutances							
Musée Régional de la Poterie				Ger							
Musée d'Art Moderne Richard Anacréon				Granville							
Christian Dior				Granville							
Maison natale Jean-François Millet				Gréville-Hague							
Maison Jacques Prévert				Omonville-la-Petite							
Fours_à_chaux_du_Rey_-_Musée_Maritime_de_Regnéville				Regnéville-sur-Mer							
Musée des Beaux-Arts et d'Histoire				Saint-Lô							
Parc-Musée du Granit				Saint-Michel-de-Montjoie							
Tatihou				Saint-Vaast-la-Hougue							
Musée Airborne				Sainte-Mère-Église							
Ferme-musée du Cotentin				Sainte-Mère-Église							
Musée des Beaux-Arts et de la Dentelle				Alençon							
Maison de l'Émigration française au Canada				Tourouvre							
Musée du Bocage normand				Flers							
Musée de la marine de Seine				Caudebec-en-Caux							
Musée août 44				Duclair							
Musée des Beaux-Arts André Malraux				Le Havre							
Musée des Sapeurs-pompiers de France				Montville							
Musée industriel de la corderie Vallois				Notre-Dame-de-Bondeville							
Musée départemental des antiquités				Rouen							
Musée des Beaux-Arts				Rouen							
Musée de la céramique				Rouen							
Musée Flaubert et d'histoire de la médecine				Rouen							
Muséum d'Histoire Naturelle de Rouen				Rouen							
Musée Jeanne-d'Arc				Rouen							
Musée Le Secq des Tournelles				Rouen							
Maritime, Fluvial and Harbour Museum of Rouen				Rouen							
Musée national de l'Éducation				Rouen							
Gros Horloge				Rouen							
Tour Jeanne d'Arc				Rouen							
Musée de Lillebonne				Lillebonne							
Musée des Beaux-Arts d'Angoulême				Angoulême							
Musée du papier				Angoulême							
Musée de la Bande Dessinée				Angoulême							
Musée de la société archéologique et historique de la Charente				Angoulême							
Musée de la résistance et de la déportation d'Angoulême				Angoulême							
Musée d'Art et d'Histoire				Cognac							
Musée des Arts du Cognac				Cognac							
Musée national Africain				Île-d'Aix							
Musée Napoléon				Île-d'Aix							
Musée naval				Rochefort							
Ernest Cognacq Museum				Saint-Martin-de-Ré							
Musée Labenche				Brive-la-Gaillarde							
Musée du Cloître de Tulle				Tulle							
