lat,lon
40.411222,19.307500
38.125417,23.208278
37.532917,22.928333
40.347056,23.962417
45.472833,29.653250
46.627917,31.727444
45.192028,33.388361
45.601667,35.085361
39.358750,26.736667
37.121250,27.281639
36.624583,28.882472
36.597500,31.782917
36.565417,35.576694
32.814222,35.027750
31.232806,32.284501
31.440778,31.862083
31.189556,31.941667
31.079139,32.917889
31.065389,33.337472
31.931722,34.702000
35.532528,35.773611
41.168333,30.222028
41.965389,34.479194
41.123750,37.764167
41.696639,41.717889
47.168722,38.754111
58.493306,-4.427528
57.067500,-2.092472
52.856611,1.475833
51.438722,3.573194
52.347861,5.006611
53.718472,7.875111
54.499139,9.009028
39.073694,121.615833
38.644972,125.149583
37.765778,126.520333
36.689583,126.471639
43.267944,132.345056
49.074556,140.258306
52.435833,141.122472
53.387056,142.360083
54.028333,138.762472
56.118750,137.593306
57.664139,139.944083
59.105389,142.221611
59.238722,147.525000
59.488722,150.521694
58.928333,152.905806
52.426611,158.447528
53.478278,159.874167
54.527472,161.760806
55.268306,161.770806
54.869583,162.121639
50.833694,-126.215000
50.057250,-123.840361
48.195333,-122.475944
48.135333,-122.832667
47.439198,-122.845963
46.224361,-124.013139
40.129972,-124.189028
36.259361,-121.839583
31.714556,-116.698611
26.970750,-114.005028
31.201444,-113.119500
26.409500,-109.247333
24.650861,-107.957639
20.619917,-105.233361
29.649833,-94.964778
45.873472,-64.599750
50.264583,-62.335083
51.396250,-57.863389
59.975306,-77.306917
58.458528,-78.099917
55.833722,-76.967250
58.484389,-93.118528
59.949583,5.486667
58.989944,5.565806
58.615028,11.279083
56.930861,12.352472
59.366639,18.632528
56.113361,21.045861
54.057083,14.901583
57.390806,10.517528
54.851611,-8.390861
53.258333,-8.939167
58.080028,-5.290806
56.113333,-5.255944
54.032444,-2.925944
51.650778,-2.624222
50.798750,-0.545056
48.669694,-4.378778
47.291194,-2.029167
43.670000,-1.440417
42.539972,-8.827167
38.819139,-9.087889
42.902861,3.040750
42.400000,11.093750
40.412472,17.199556
45.687056,13.097500
43.419556,16.710806
40.099556,19.731611
38.288306,22.022889
37.582889,23.235833
40.855417,24.625806
45.156222,29.668333
46.769139,31.542083
45.345806,33.045389
45.430000,35.007917
38.212861,26.747472
36.752917,27.914111
36.164583,29.803333
36.311250,33.910000
33.986972,35.634111
31.434583,31.984167
31.428722,30.819167
31.459556,30.695833
31.542083,31.112444
31.487472,31.825417
31.089583,32.064111
31.092889,33.118306
32.352417,34.854556
36.549306,36.078889
41.972889,33.847417
41.119611,37.306639
41.181194,40.854167
47.247472,39.260389
45.293750,36.438306
55.157500,-1.522556
49.889556,0.829167
51.700361,4.524889
53.122472,5.400778
53.834583,8.796667
54.611611,8.834167
39.497917,122.511667
38.136222,124.884167
37.036222,126.559111
35.897083,126.822472
42.939944,132.404583
48.972889,140.264111
51.897472,141.302528
53.769167,142.767528
49.147528,142.029528
55.065417,135.508278
56.429972,138.050778
57.298722,139.418361
57.902528,140.505833
54.626667,136.612528
59.400361,148.096667
51.332056,157.341639
53.147889,159.388333
53.666250,159.858250
53.664972,159.920778
52.244167,158.435861
51.012500,-127.524222
50.311667,-124.673333
48.612833,-122.440111
47.566639,-122.976306
47.743722,-122.487528
46.177083,-123.677500
42.087639,-124.338472
35.592861,-121.125917
31.376722,-116.489278
26.890944,-113.133028
30.526306,-112.991389
26.279000,-109.161611
23.925056,-106.985250
19.741833,-105.303778
29.936583,-93.867250
44.445056,-68.352083
48.603750,-68.248389
51.271639,-58.345833
59.766611,-65.468250
58.938500,-78.330306
56.500917,-76.544389
54.091083,-79.073750
59.061722,-94.813972
59.804139,6.165833
58.484528,5.816583
58.240000,11.425694
58.357500,16.729194
59.451250,18.139972
54.929583,20.710083
55.962417,10.267500
55.171667,-6.964194
53.811222,-9.601722
52.300778,-9.835889
56.626639,-5.829222
54.893389,-4.397639
51.727083,-4.675083
50.701250,-3.078333
48.800833,-3.007111
47.598750,-2.733306
44.160000,-1.307972
42.695833,-9.033750
38.806667,-8.936306
42.791639,3.038667
43.251694,10.533694
39.999167,16.613750
45.554139,12.455444
43.491694,16.018750
39.612417,20.184528
38.160417,21.545806
37.940417,23.634167
40.846250,25.957472
44.826222,29.533306
46.637083,31.011667
45.423722,32.508306
45.756611,34.977083
37.725389,27.234194
36.795389,28.284111
36.839556,30.792472
36.655389,35.115000
31.293750,32.186667
31.288750,30.019167
31.087889,28.043333
31.005361,28.653333
31.015417,29.606667
31.496222,30.342444
31.518722,31.368278
31.104528,32.209972
25.630778,56.266278
26.314194,56.362028
26.242528,56.203667
26.227111,56.392444
25.891556,56.410528
45.879583,34.612444
57.420806,-1.825944
53.306639,0.290833
51.128694,2.648333
52.757889,5.194917
53.257278,7.095417
54.017861,8.973278
54.724139,8.707417
39.746194,123.250833
37.813333,125.294556
36.505833,126.332889
35.536250,126.526667
42.805000,132.886250
48.095833,139.666222
51.612444,140.885806
53.844972,142.684111
49.583333,142.146222
54.085806,137.112528
54.729972,135.285806
55.616222,136.589972
54.562028,135.830028
54.264139,136.765833
53.658750,138.104972
51.020806,156.865806
52.901611,158.732361
53.257889,159.996639
53.186194,159.766639
53.121639,143.259167
51.151278,-127.458361
50.483361,-125.255889
49.174944,-123.201333
47.524944,-122.545417
47.071522,-123.006287
46.282444,-124.084667
42.496694,-124.424056
35.368778,-120.859194
30.427111,-115.969028
26.527417,-112.904056
30.173278,-112.754000
26.140167,-109.291056
22.189917,-105.650111
19.018194,-104.333333
29.762389,-92.151472
38.972778,-76.259944
44.635667,-65.879667
50.624167,-59.410861
51.561639,-55.764194
59.812500,-77.340056
57.965889,-77.127806
54.335028,-79.413694
58.722806,-93.413417
