"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-02","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030747","1010.100002.2","84","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030748","1010.100002.3","177","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030749","1010.100003.1","1626","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030750","1010.100003.2","78","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030751","1010.100003.3","110","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, all airports","Domestic movements","Number","223","units","0","v1376030752","1011.100001.1","282","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, all airports","Transborder movements","Number","223","units","0","v1376030753","1011.100001.2","3","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, all airports","Other international movements","Number","223","units","0","v1376030754","1011.100001.3","","..","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030755","1011.100002.1","282","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030756","1011.100002.2","3","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030757","1011.100002.3","","..","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030758","1011.100003.1","","..","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030759","1011.100003.2","","..","","","0"
"2022-02","Prince Edward Island","2016A000211","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030760","1011.100003.3","","..","","","0"
"2022-02","Nova Scotia","2016A000212","Total, all airports","Domestic movements","Number","223","units","0","v1376030761","1012.100001.1","2008","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, all airports","Transborder movements","Number","223","units","0","v1376030762","1012.100001.2","135","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, all airports","Other international movements","Number","223","units","0","v1376030763","1012.100001.3","174","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030764","1012.100002.1","1798","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030765","1012.100002.2","134","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030766","1012.100002.3","174","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030767","1012.100003.1","210","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030768","1012.100003.2","1","","","","0"
"2022-02","Nova Scotia","2016A000212","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030769","1012.100003.3","","..","","","0"
"2022-02","New Brunswick","2016A000213","Total, all airports","Domestic movements","Number","223","units","0","v1376030770","1013.100001.1","5215","","","","0"
"2022-02","New Brunswick","2016A000213","Total, all airports","Transborder movements","Number","223","units","0","v1376030771","1013.100001.2","50","","","","0"
"2022-02","New Brunswick","2016A000213","Total, all airports","Other international movements","Number","223","units","0","v1376030772","1013.100001.3","8","","","","0"
"2022-02","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030773","1013.100002.1","5215","","","","0"
"2022-02","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030774","1013.100002.2","50","","","","0"
"2022-02","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030775","1013.100002.3","8","","","","0"
"2022-02","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030776","1013.100003.1","","..","","","0"
"2022-02","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030777","1013.100003.2","","..","","","0"
"2022-02","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030778","1013.100003.3","","..","","","0"
"2022-02","Quebec","2016A000224","Total, all airports","Domestic movements","Number","223","units","0","v1376030779","1024.100001.1","22293","","","","0"
"2022-02","Quebec","2016A000224","Total, all airports","Transborder movements","Number","223","units","0","v1376030780","1024.100001.2","3169","","","","0"
"2022-02","Quebec","2016A000224","Total, all airports","Other international movements","Number","223","units","0","v1376030781","1024.100001.3","1973","","","","0"
"2022-02","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030782","1024.100002.1","20062","","","","0"
"2022-02","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030783","1024.100002.2","3169","","","","0"
"2022-02","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030784","1024.100002.3","1973","","","","0"
"2022-02","Quebec","2016A000224","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030785","1024.100003.1","2231","","","","0"
"2022-02","Quebec","2016A000224","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030786","1024.100003.2","","..","","","0"
"2022-02","Quebec","2016A000224","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030787","1024.100003.3","","..","","","0"
"2022-02","Ontario","2016A000235","Total, all airports","Domestic movements","Number","223","units","0","v1376030788","1035.100001.1","38754","","","","0"
"2022-02","Ontario","2016A000235","Total, all airports","Transborder movements","Number","223","units","0","v1376030789","1035.100001.2","8515","","","","0"
"2022-02","Ontario","2016A000235","Total, all airports","Other international movements","Number","223","units","0","v1376030790","1035.100001.3","4314","","","","0"
"2022-02","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030791","1035.100002.1","35022","","","","0"
"2022-02","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030792","1035.100002.2","8510","","","","0"
"2022-02","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030793","1035.100002.3","4314","","","","0"
"2022-02","Ontario","2016A000235","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030794","1035.100003.1","3732","","","","0"
"2022-02","Ontario","2016A000235","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030795","1035.100003.2","5","","","","0"
